"","SYMBOL","ENTREZID","ENSEMBL"
"656","PPP1R11","6992","ENSG00000236560"
"657","PPP1R11","6992","ENSG00000237403"
"658","PPP1R11","6992","ENSG00000233314"
"659","PPP1R11","6992","ENSG00000234058"
"660","PPP1R11","6992","ENSG00000206501"
"661","PPP1R11","6992","ENSG00000227720"
"662","PPP1R11","6992","ENSG00000237829"
"663","TMBIM6","7009","ENSG00000139644"
"664","TFF1","7031","ENSG00000160182"
"665","TIMP3","7078","ENSG00000100234"
"666","TLR5","7100","ENSG00000187554"
"667","TSPYL1","7259","ENSG00000189241"
"668","UBE2D3","7323","ENSG00000109332"
"669","UBE2L3","7332","ENSG00000185651"
"670","USF2","7392","ENSG00000105698"
"671","YWHAE","7531","ENSG00000108953"
"672","YWHAE","7531","ENSG00000274474"
"673","ZYX","7791","ENSG00000159840"
"674","ZYX","7791","ENSG00000285443"
"675","PRRC2A","7916","ENSG00000204469"
"676","PRRC2A","7916","ENSG00000231370"
"677","PRRC2A","7916","ENSG00000226618"
"678","PRRC2A","7916","ENSG00000206427"
"679","PRRC2A","7916","ENSG00000231825"
"680","PRRC2A","7916","ENSG00000225748"
"681","PRRC2A","7916","ENSG00000225164"
"683","ULK1","8408","ENSG00000177169"
"684","TPST2","8459","ENSG00000128294"
"686","TMEM11","8834","ENSG00000178307"
"687","SQSTM1","8878","ENSG00000161011"
"688","SQSTM1","8878","ENSG00000284099"
"689","SLC5A6","8884","ENSG00000138074"
"690","MTMR3","8897","ENSG00000100330"
"692","RPS6KA4","8986","ENSG00000162302"
"693","USP6","9098","ENSG00000129204"
"694","MTA1","9112","ENSG00000182979"
"695","SYNGR2","9144","ENSG00000108639"
"696","SYNGR1","9145","ENSG00000100321"
"697","ARHGEF2","9181","ENSG00000116584"
"698","DDX21","9188","ENSG00000165732"
"699","NOLC1","9221","ENSG00000166197"
"700","PTTG1","9232","ENSG00000164611"
"701","SRSF11","9295","ENSG00000116754"
"702","SLC9A3R1","9368","ENSG00000109062"
"703","GTPBP1","9567","ENSG00000100226"
"704","NOS1AP","9722","ENSG00000198929"
"705","ARHGAP32","9743","ENSG00000134909"
"706","BCLAF1","9774","ENSG00000029363"
"707","EPM2AIP1","9852","ENSG00000178567"
"708","PSMD6","9861","ENSG00000163636"
"709","RCE1","9986","ENSG00000173653"
"710","ABCC5","10057","ENSG00000114770"
"711","UST","10090","ENSG00000111962"
"712","TRIM28","10155","ENSG00000130726"
"713","EIF1","10209","ENSG00000173812"
"714","GDF11","10220","ENSG00000135414"
"715","NDRG1","10397","ENSG00000104419"
"716","ARPC1A","10552","ENSG00000241685"
"717","RABAC1","10567","ENSG00000105404"
"718","DRAP1","10589","ENSG00000175550"
"719","TXNIP","10628","ENSG00000265972"
"720","FAM189B","10712","ENSG00000160767"
"721","FAM189B","10712","ENSG00000262666"
"722","PNRC1","10957","ENSG00000146278"
"723","CCNI","10983","ENSG00000118816"
"724","TDRKH","11022","ENSG00000182134"
"725","HNRNPUL1","11100","ENSG00000105323"
"726","AKAP13","11214","ENSG00000170776"
"727","RNF139","11236","ENSG00000170881"
"728","RBPJL","11317","ENSG00000124232"
"729","U2AF2","11338","ENSG00000063244"
"730","COPZ1","22818","ENSG00000111481"
"731","CLSTN1","22883","ENSG00000171603"
"732","NFASC","23114","ENSG00000163531"
"733","TAB2","23118","ENSG00000055208"
"734","TAB2","23118","ENSG00000228408"
"735","PLXND1","23129","ENSG00000004399"
"736","MAPK8IP3","23162","ENSG00000138834"
"737","GGA3","23163","ENSG00000125447"
"739","DIP2A","23181","ENSG00000160305"
"740","PMPCA","23203","ENSG00000165688"
"741","ARL6IP1","23204","ENSG00000170540"
"742","PLCB1","23236","ENSG00000182621"
"743","NEDD4L","23327","ENSG00000049759"
"744","CTDNEP1","23399","ENSG00000175826"
"745","CTDNEP1","23399","ENSG00000288307"
"746","NCS1","23413","ENSG00000107130"
"747","CBX6","23466","ENSG00000183741"
"748","KCTD2","23510","ENSG00000180901"
"749","WBP2","23558","ENSG00000132471"
"750","MTCH2","23788","ENSG00000109919"
"751","MTCH2","23788","ENSG00000285121"
"752","FAM98A","25940","ENSG00000119812"
"753","TPGS2","25941","ENSG00000134779"
"754","NECAP1","25977","ENSG00000089818"
"755","AAR2","25980","ENSG00000131043"
"756","SLITRK5","26050","ENSG00000165300"
"757","AP3M1","26985","ENSG00000185009"
"758","PABPC1","26986","ENSG00000070756"
"759","HIPK2","28996","ENSG00000064393"
"760","FHOD1","29109","ENSG00000135723"
"761","SNX8","29886","ENSG00000106266"
"762","STRN4","29888","ENSG00000090372"
"763","CCDC106","29903","ENSG00000173581"
"764","EPN1","29924","ENSG00000063245"
"765","MINK1","50488","ENSG00000141503"
"766","COPS7A","50813","ENSG00000111652"
"767","COQ6","51004","ENSG00000119723"
"768","NMD3","51068","ENSG00000169251"
"769","SAR1B","51128","ENSG00000152700"
"770","ERRFI1","54206","ENSG00000116285"
"771","MTRF1L","54516","ENSG00000112031"
"772","MIER2","54531","ENSG00000105556"
"773","NDE1","54820","ENSG00000072864"
"774","NDE1","54820","ENSG00000275911"
"775","CASZ1","54897","ENSG00000130940"
"776","CHTF8","54921","ENSG00000168802"
"777","BANP","54971","ENSG00000172530"
"778","C20orf27","54976","ENSG00000101220"
"779","PRPF38B","55119","ENSG00000134186"
"780","SLC48A1","55652","ENSG00000211584"
"781","NPLOC4","55666","ENSG00000182446"
"782","LIMS2","55679","ENSG00000072163"
"783","VAC14","55697","ENSG00000103043"
"784","TEX2","55852","ENSG00000136478"
"785","AJAP1","55966","ENSG00000196581"
"786","GNG12","55970","ENSG00000172380"
"787","UBFD1","56061","ENSG00000103353"
"788","BCCIP","56647","ENSG00000107949"
"789","BARHL1","56751","ENSG00000125492"
"790","RAD18","56852","ENSG00000070950"
"791","C15orf39","56905","ENSG00000167173"
"792","DDX24","57062","ENSG00000089737"
"793","DDX24","57062","ENSG00000273761"
"795","STRIP2","57464","ENSG00000128578"
"797","PDP2","57546","ENSG00000172840"
"798","CHD8","57680","ENSG00000100888"
"799","IGDCC4","57722","ENSG00000103742"
"800","HES4","57801","ENSG00000188290"
"803","FAM3A","60343","ENSG00000071889"
"804","CLSPN","63967","ENSG00000092853"
"805","NSD1","64324","ENSG00000165671"
"807","MRPL34","64981","ENSG00000130312"
"808","CDK15","65061","ENSG00000138395"
"809","ZNF655","79027","ENSG00000197343"
"810","DDX54","79039","ENSG00000123064"
"811","KCTD15","79047","ENSG00000153885"
"812","ATG9A","79065","ENSG00000198925"
"813","TNIP2","79155","ENSG00000168884"
"814","EFHD2","79180","ENSG00000142634"
"815","MUL1","79594","ENSG00000090432"
"816","RIN3","79890","ENSG00000100599"
"817","C3orf36","80111","ENSG00000288547"
"818","MED28","80306","ENSG00000118579"
"819","URM1","81605","ENSG00000167118"
"820","SPRY4","81848","ENSG00000187678"
"821","TMUB1","83590","ENSG00000164897"
"822","SPNS1","83985","ENSG00000169682"
"823","BRSK1","84446","ENSG00000160469"
"824","NKX6-2","84504","ENSG00000148826"
"825","REPS1","85021","ENSG00000135597"
"827","MICALL1","85377","ENSG00000100139"
"828","UNK","85451","ENSG00000132478"
"829","NAV1","89796","ENSG00000134369"
"830","FAM110B","90362","ENSG00000169122"
"831","MSANTD3","91283","ENSG00000066697"
"833","GPRIN1","114787","ENSG00000169258"
"834","EVI5L","115704","ENSG00000142459"
"835","ANKRD13B","124930","ENSG00000198720"
"836","ARL8A","127829","ENSG00000143862"
"837","PPARGC1B","133522","ENSG00000155846"
"838","ZBTB46","140685","ENSG00000130584"
"839","ADAMTS14","140766","ENSG00000138316"
"840","WIPF2","147179","ENSG00000171475"
"841","RC3H1","149041","ENSG00000135870"
"842","ITPRIPL2","162073","ENSG00000205730"
"843","POLR3H","171568","ENSG00000100413"
"844","TUBB","203068","ENSG00000196230"
"845","TUBB","203068","ENSG00000235067"
"846","TUBB","203068","ENSG00000224156"
"847","TUBB","203068","ENSG00000229684"
"848","TUBB","203068","ENSG00000232575"
"849","TUBB","203068","ENSG00000232421"
"850","TUBB","203068","ENSG00000183311"
"851","TUBB","203068","ENSG00000227739"
"852","NUTM1","256646","ENSG00000184507"
"853","FAM83H","286077","ENSG00000180921"
"854","FAM83H","286077","ENSG00000273889"
"855","ANKRD42","338699","ENSG00000137494"
"856","B4GALNT4","338707","ENSG00000182272"
"857","KLHL38","340359","ENSG00000175946"
"858","NANOS1","340719","ENSG00000188613"
"861","TSPYL6","388951","ENSG00000178021"
"862","ZBTB34","403341","ENSG00000177125"
"863","C10orf55","414236","ENSG00000222047"
"865","RNF165","494470","ENSG00000141622"
"866","PPIAL4G","644591","ENSG00000236334"
"867","PCP4L1","654790","ENSG00000248485"
"868","RGPD2","729857","ENSG00000185304"
"869","CASC9","101805492","ENSG00000249395"
"870","LOC105371414","105371414","ENSG00000260279"
"871","CD59","966","ENSG00000085063"
"872","ZNF487","642819","ENSG00000243660"
"873","ACACA","31","ENSG00000278540"
"874","ACACA","31","ENSG00000275176"
"875","ATP6V0B","533","ENSG00000117410"
"876","CA12","771","ENSG00000074410"
"877","ATF6B","1388","ENSG00000213676"
"878","ATF6B","1388","ENSG00000228628"
"879","ATF6B","1388","ENSG00000234539"
"880","ATF6B","1388","ENSG00000168468"
"881","DIAPH1","1729","ENSG00000131504"
"882","FOXC1","2296","ENSG00000054598"
"883","GLP1R","2740","ENSG00000112164"
"884","HDGF","3068","ENSG00000143321"
"885","KCNJ10","3766","ENSG00000177807"
"886","PAK2","5062","ENSG00000180370"
"887","PGK1","5230","ENSG00000102144"
"888","POU5F1B","5462","ENSG00000212993"
"889","PSG4","5672","ENSG00000243137"
"890","RDX","5962","ENSG00000137710"
"891","RPS11","6205","ENSG00000142534"
"892","RPS17","6218","ENSG00000182774"
"893","RPS17","6218","ENSG00000278229"
"894","SKIL","6498","ENSG00000136603"
"895","SOD2","6648","ENSG00000112096"
"896","VLDLR","7436","ENSG00000147852"
"897","ZNF24","7572","ENSG00000172466"
"898","ZNF84","7637","ENSG00000198040"
"899","TNFSF14","8740","ENSG00000125735"
"900","BRSK2","9024","ENSG00000174672"
"901","SORBS3","10174","ENSG00000120896"
"902","IGF2BP1","10642","ENSG00000159217"
"903","RAB32","10981","ENSG00000118508"
"904","NUDT5","11164","ENSG00000165609"
"905","SYNPO","11346","ENSG00000171992"
"906","SHANK2","22941","ENSG00000162105"
"907","GPATCH8","23131","ENSG00000186566"
"908","ICMT","23463","ENSG00000116237"
"909","SULT1B1","27284","ENSG00000173597"
"910","GEMIN4","50628","ENSG00000179409"
"911","RSRC1","51319","ENSG00000174891"
"912","PHAX","51808","ENSG00000164902"
"913","GALNT10","55568","ENSG00000164574"
"914","TM9SF3","56889","ENSG00000077147"
"915","SLC12A5","57468","ENSG00000124140"
"916","MTUS1","57509","ENSG00000129422"
"917","ZNF350","59348","ENSG00000256683"
"918","KLHL12","59349","ENSG00000117153"
"919","INF2","64423","ENSG00000203485"
"920","COPS7B","64708","ENSG00000144524"
"921","GNPNAT1","64841","ENSG00000100522"
"922","TBL1XR1","79718","ENSG00000177565"
"923","TRPM3","80036","ENSG00000083067"
"924","PTGES2","80142","ENSG00000148334"
"925","TTYH3","80727","ENSG00000136295"
"926","ANP32E","81611","ENSG00000143401"
"927","PITPNM3","83394","ENSG00000091622"
"928","FAM104A","84923","ENSG00000133193"
"929","FAM83F","113828","ENSG00000133477"
"932","PHF13","148479","ENSG00000116273"
"933","NAIF1","203245","ENSG00000171169"
"934","HIPK1","204851","ENSG00000163349"
"935","NPCA1","257641",NA
"936","ZDHHC22","283576","ENSG00000177108"
"937","SLC25A42","284439","ENSG00000181035"
"938","FSIP2","401024","ENSG00000188738"
"939","C18orf32","497661","ENSG00000177576"
"941","PDE10A","10846","ENSG00000112541"
"942","ARFGEF3","57221","ENSG00000112379"
"944","XIAP","331","ENSG00000101966"
"945","CDH7","1005","ENSG00000081138"
"946","RCAN1","1827","ENSG00000159200"
"947","EIF2S1","1965","ENSG00000134001"
"948","ERBB2","2064","ENSG00000141736"
"949","F2RL2","2151","ENSG00000164220"
"950","NCKAP1L","3071","ENSG00000123338"
"951","HGFAC","3083","ENSG00000109758"
"952","TNPO1","3842","ENSG00000083312"
"953","CAPRIN1","4076","ENSG00000135387"
"954","PDE3A","5139","ENSG00000172572"
"955","PDE1B","5153","ENSG00000123360"
"956","PMAIP1","5366","ENSG00000141682"
"957","RPN2","6185","ENSG00000118705"
"958","RPS24","6229","ENSG00000138326"
"959","SOX1","6656","ENSG00000182968"
"960","SRD5A1","6715","ENSG00000145545"
"961","ST13","6767","ENSG00000100380"
"962","TPI1","7167","ENSG00000111669"
"963","TRPS1","7227","ENSG00000104447"
"964","VCAM1","7412","ENSG00000162692"
"965","DEK","7913","ENSG00000124795"
"966","SPOP","8405","ENSG00000121067"
"967","AP3B1","8546","ENSG00000132842"
"968","ZNF516","9658","ENSG00000101493"
"969","VGLL4","9686","ENSG00000144560"
"970","USP6NL","9712","ENSG00000148429"
"971","TRIM66","9866","ENSG00000166436"
"972","KIF14","9928","ENSG00000118193"
"973","YAF2","10138","ENSG00000015153"
"974","STX6","10228","ENSG00000135823"
"975","BCAS2","10286","ENSG00000116752"
"976","B3GALT5","10317","ENSG00000183778"
"977","SEC24A","10802","ENSG00000113615"
"979","LMAN2","10960","ENSG00000169223"
"980","RAB3GAP1","22930","ENSG00000115839"
"981","DNAJC9","23234","ENSG00000213551"
"982","ICOSLG","23308","ENSG00000160223"
"983","POLDIP2","26073","ENSG00000004142"
"984","RABGEF1","27342","ENSG00000154710"
"985","GOLT1B","51026","ENSG00000111711"
"986","ST8SIA3","51046","ENSG00000177511"
"987","CPA4","51200","ENSG00000128510"
"988","AZIN1","51582","ENSG00000155096"
"989","NUP54","53371","ENSG00000138750"
"990","TMCO1","54499","ENSG00000143183"
"991","NCAPG2","54892","ENSG00000146918"
"992","STYK1","55359","ENSG00000060140"
"993","UBE2Q1","55585","ENSG00000160714"
"994","LRIF1","55791","ENSG00000121931"
"995","CAND1","55832","ENSG00000111530"
"996","NDUFA12","55967","ENSG00000184752"
"997","SLC45A4","57210","ENSG00000022567"
"999","ARHGAP21","57584","ENSG00000107863"
"1000","TNRC6C","57690","ENSG00000078687"
"1001","LMBR1","64327","ENSG00000105983"
"1002","ADAMTS20","80070","ENSG00000173157"
"1003","NBPF3","84224","ENSG00000142794"
"1004","SLC25A33","84275","ENSG00000171612"
"1005","YTHDC1","91746","ENSG00000083896"
"1006","YTHDC1","91746","ENSG00000275272"
"1007","SYAP1","94056","ENSG00000169895"
"1008","TRABD2A","129293","ENSG00000186854"
"1009","GRPEL2","134266","ENSG00000164284"
"1010","XRRA1","143570","ENSG00000166435"
"1011","C1orf52","148423","ENSG00000162642"
"1012","MB21D2","151963","ENSG00000180611"
"1013","PLEKHG4B","153478","ENSG00000153404"
"1014","TAS2R30","259293","ENSG00000256188"
"1015","TAS2R30","259293","ENSG00000262111"
"1016","TAS2R30","259293","ENSG00000274699"
"1017","SPDYE1","285955","ENSG00000136206"
"1018","SPDYE1","285955","ENSG00000281950"
"1019","SPDYE1","285955","ENSG00000185040"
"1020","FAM89A","375061","ENSG00000182118"
"1021","MTRNR2L7","100288485","ENSG00000256892"
"1022","MTRNR2L3","100462983","ENSG00000256222"
"1023","MTRNR2L11","100463489","ENSG00000270188"
"1024","ACTN4","81","ENSG00000130402"
"1025","ACTN4","81","ENSG00000282844"
"1026","AQP3","360","ENSG00000165272"
"1027","BMI1","648","ENSG00000168283"
"1028","CAPZA1","829","ENSG00000116489"
"1029","CDK4","1019","ENSG00000135446"
"1030","CSE1L","1434","ENSG00000124207"
"1031","DDB1","1642","ENSG00000167986"
"1032","DR1","1810","ENSG00000117505"
"1033","EFNA5","1946","ENSG00000184349"
"1034","ERH","2079","ENSG00000100632"
"1035","GPC4","2239","ENSG00000076716"
"1036","XRCC6","2547","ENSG00000196419"
"1037","GPR27","2850","ENSG00000170837"
"1038","GRM5","2915","ENSG00000168959"
"1040","HMGN2","3151","ENSG00000198830"
"1041","HOXA13","3209","ENSG00000106031"
"1042","HPRT1","3251","ENSG00000165704"
"1043","HSP90AA1","3320","ENSG00000080824"
"1044","INHBA","3624","ENSG00000122641"
"1045","ITGB8","3696","ENSG00000105855"
"1046","KLRC3","3823","ENSG00000205810"
"1047","KPNA1","3836","ENSG00000114030"
"1048","LIPA","3988","ENSG00000107798"
"1049","SMAD5","4090","ENSG00000113658"
"1050","MCC","4163","ENSG00000171444"
"1051","MKI67","4288","ENSG00000148773"
"1052","MKLN1","4289","ENSG00000128585"
"1053","MTHFD1","4522","ENSG00000100714"
"1054","TRIM37","4591","ENSG00000108395"
"1055","NHS","4810","ENSG00000188158"
"1056","PAFAH1B2","5049","ENSG00000168092"
"1057","PEX7","5191","ENSG00000112357"
"1058","PRKG2","5593","ENSG00000138669"
"1059","MAP2K1","5604","ENSG00000169032"
"1060","PTBP1","5725","ENSG00000011304"
"1061","KDM5A","5927","ENSG00000073614"
"1062","CLIP1","6249","ENSG00000130779"
"1063","MAP2K4","6416","ENSG00000065559"
"1064","SH3BGRL","6451","ENSG00000131171"
"1065","SLC5A3","6526","ENSG00000198743"
"1066","UBE2D1","7321","ENSG00000072401"
"1067","UBE2D2","7322","ENSG00000131508"
"1068","UBE2H","7328","ENSG00000186591"
"1069","VDAC2","7417","ENSG00000165637"
"1070","ZNF711","7552","ENSG00000147180"
"1071","ZNF154","7710","ENSG00000179909"
"1072","ZNF207","7756","ENSG00000010244"
"1073","PTP4A1","7803","ENSG00000112245"
"1074","PTP4A1","7803","ENSG00000285976"
"1076","KHSRP","8570","ENSG00000088247"
"1077","MPZL1","9019","ENSG00000197965"
"1078","CLDN12","9069","ENSG00000157224"
"1079","MTMR6","9107","ENSG00000139505"
"1080","THRAP3","9967","ENSG00000054118"
"1081","FRY","10129","ENSG00000073910"
"1082","G3BP1","10146","ENSG00000145907"
"1083","NPM3","10360","ENSG00000107833"
"1084","YAP1","10413","ENSG00000137693"
"1085","FAM3C","10447","ENSG00000196937"
"1086","SYNCRIP","10492","ENSG00000135316"
"1087","CLDN16","10686","ENSG00000113946"
"1088","MTHFD2","10797","ENSG00000065911"
"1089","EBNA1BP2","10969","ENSG00000117395"
"1090","KIF2C","11004","ENSG00000142945"
"1091","KIF3A","11127","ENSG00000131437"
"1092","ZWINT","11130","ENSG00000122952"
"1093","WBP4","11193","ENSG00000120688"
"1094","CHEK2","11200","ENSG00000183765"
"1095","PHB2","11331","ENSG00000215021"
"1096","CBX3","11335","ENSG00000122565"
"1097","SMG1","23049","ENSG00000157106"
"1098","PEG10","23089","ENSG00000242265"
"1099","ZBTB43","23099","ENSG00000169155"
"1100","ESYT1","23344","ENSG00000139641"
"1101","RYBP","23429","ENSG00000163602"
"1102","RYBP","23429","ENSG00000281766"
"1103","PANX1","24145","ENSG00000110218"
"1105","ZBTB20","26137","ENSG00000181722"
"1106","PRELID1","27166","ENSG00000169230"
"1107","ANGPTL3","27329","ENSG00000132855"
"1108","SLC43A3","29015","ENSG00000134802"
"1109","MDFIC","29969","ENSG00000135272"
"1110","ABHD5","51099","ENSG00000011198"
"1111","FAM53C","51307","ENSG00000120709"
"1112","CRNKL1","51340","ENSG00000101343"
"1113","GDE1","51573","ENSG00000006007"
"1114","RAB8B","51762","ENSG00000166128"
"1115","SIX4","51804","ENSG00000100625"
"1116","TM6SF1","53346","ENSG00000136404"
"1117","USP53","54532","ENSG00000145390"
"1118","TBC1D13","54662","ENSG00000107021"
"1119","RSBN1","54665","ENSG00000081019"
"1120","GTPBP2","54676","ENSG00000172432"
"1121","LEPROT","54741","ENSG00000213625"
"1122","ZNF562","54811","ENSG00000171466"
"1123","KLHL28","54813","ENSG00000179454"
"1124","SDAD1","55153","ENSG00000198301"
"1125","KLHL11","55175","ENSG00000178502"
"1126","BRIX1","55299","ENSG00000113460"
"1127","GIMAP4","55303","ENSG00000133574"
"1128","YOD1","55432","ENSG00000180667"
"1129","ETNK1","55500","ENSG00000139163"
"1130","FEM1C","56929","ENSG00000145780"
"1131","LYRM2","57226","ENSG00000083099"
"1132","CYP20A1","57404","ENSG00000119004"
"1133","SPC25","57405","ENSG00000152253"
"1134","SPC25","57405","ENSG00000277909"
"1135","FAM135A","57579","ENSG00000082269"
"1136","KIAA1586","57691","ENSG00000168116"
"1137","PTBP2","58155","ENSG00000117569"
"1138","ENPP5","59084","ENSG00000112796"
"1139","SPCS3","60559","ENSG00000129128"
"1140","ANKEF1","63926","ENSG00000132623"
"1141","IKZF5","64376","ENSG00000095574"
"1142","MRPS5","64969","ENSG00000144029"
"1143","HMBOX1","79618","ENSG00000147421"
"1144","BBS10","79738","ENSG00000179941"
"1145","ALG9","79796","ENSG00000086848"
"1146","METTL8","79828","ENSG00000123600"
"1147","SETD7","80854","ENSG00000145391"
"1148","RBM4B","83759","ENSG00000173914"
"1149","KATNAL1","84056","ENSG00000102781"
"1150","POLR1B","84172","ENSG00000125630"
"1151","PCGF5","84333","ENSG00000180628"
"1152","ZBTB37","84614","ENSG00000185278"
"1153","MFSD9","84804","ENSG00000135953"
"1154","SPPL2A","84888","ENSG00000138600"
"1155","TMEM241","85019","ENSG00000134490"
"1156","PCMTD1","115294","ENSG00000168300"
"1157","PRRC1","133619","ENSG00000164244"
"1158","PTCHD1","139411","ENSG00000165186"
"1159","NEK7","140609","ENSG00000151414"
"1160","CTCFL","140690","ENSG00000124092"
"1161","SAMD8","142891","ENSG00000156671"
"1162","SIK1","150094","ENSG00000142178"
"1163","CCDC80","151887","ENSG00000091986"
"1164","CEP120","153241","ENSG00000168944"
"1165","TMEM30B","161291","ENSG00000182107"
"1166","PARP15","165631","ENSG00000173200"
"1167","ARL13B","200894","ENSG00000169379"
"1168","PDE12","201626","ENSG00000174840"
"1169","LRRC55","219527","ENSG00000183908"
"1170","PRPS1L1","221823","ENSG00000229937"
"1171","FOXK1","221937","ENSG00000164916"
"1172","ZNRF2","223082","ENSG00000180233"
"1173","IPMK","253430","ENSG00000151151"
"1174","ZBTB38","253461","ENSG00000177311"
"1175","SPRYD4","283377","ENSG00000176422"
"1176","RGPD4","285190","ENSG00000196862"
"1177","RPL7L1","285855","ENSG00000146223"
"1178","ZDHHC21","340481","ENSG00000175893"
"1179","ACSM2B","348158","ENSG00000066813"
"1180","SLC9A4","389015","ENSG00000180251"
"1181","XKR9","389668","ENSG00000221947"
"1182","GTF2H5","404672","ENSG00000272047"
"1183","TMEM41B","440026","ENSG00000166471"
"1184","PLEKHG7","440107","ENSG00000187510"
"1186","SMIM15","643155","ENSG00000188725"
"1187","SHISA9","729993","ENSG00000237515"
"1188","COMMD3-BMI1","100532731","ENSG00000269897"
