"","SYMBOL","ENTREZID","ENSEMBL"
"150","CRTC1","23373","ENSG00000105662"
"151","SF3B3","23450","ENSG00000189091"
"152","TNFAIP8","25816","ENSG00000145779"
"153","SETBP1","26040","ENSG00000152217"
"154","PHF19","26147","ENSG00000119403"
"155","CNNM4","26504","ENSG00000158158"
"156","BBC3","27113","ENSG00000105327"
"157","AGO2","27161","ENSG00000123908"
"158","CRCP","27297","ENSG00000241258"
"159","TNRC18P2","27320","ENSG00000223566"
"161","MRPS16","51021","ENSG00000182180"
"162","APH1A","51107","ENSG00000117362"
"163","ZBTB7A","51341","ENSG00000178951"
"164","ANKFY1","51479","ENSG00000185722"
"165","GPR173","54328","ENSG00000184194"
"166","TRIM44","54765","ENSG00000166326"
"167","RFWD3","55159","ENSG00000168411"
"168","SLC38A7","55238","ENSG00000103042"
"169","RNF121","55298","ENSG00000137522"
"170","LSG1","55341","ENSG00000041802"
"171","CHST12","55501","ENSG00000136213"
"172","FEM1A","55527","ENSG00000141965"
"173","MIOX","55586","ENSG00000100253"
"174","OTUD5","55593","ENSG00000068308"
"175","CHMP1B","57132","ENSG00000255112"
"176","GIGYF1","64599","ENSG00000146830"
"177","CREB3L2","64764","ENSG00000182158"
"178","PLEKHA3","65977","ENSG00000116095"
"179","SCNM1","79005","ENSG00000163156"
"180","FOXRED2","80020","ENSG00000100350"
"181","ORAI2","80228","ENSG00000160991"
"182","MFRP","83552","ENSG00000235718"
"183","WDR75","84128","ENSG00000115368"
"184","YIPF4","84272","ENSG00000119820"
"185","FAM136A","84908","ENSG00000035141"
"186","RRP36","88745","ENSG00000124541"
"187","DSEL","92126","ENSG00000171451"
"188","DSEL","92126","ENSG00000262102"
"189","MEX3A","92312","ENSG00000254726"
"190","ASB16","92591","ENSG00000161664"
"191","ZBTB47","92999","ENSG00000114853"
"192","ZNF561","93134","ENSG00000171469"
"193","ZFAND4","93550","ENSG00000172671"
"194","CCSAP","126731","ENSG00000154429"
"195","UBLCP1","134510","ENSG00000164332"
"196","SIX5","147912","ENSG00000177045"
"197","METTL21A","151194","ENSG00000144401"
"198","ARSK","153642","ENSG00000164291"
"199","PPTC7","160760","ENSG00000196850"
"200","ZNF584","201514","ENSG00000171574"
"201","TMED4","222068","ENSG00000158604"
"202","RICTOR","253260","ENSG00000164327"
